query,count,runtime,users
"index=web sourcetype=apache_error warn",1434,7,"user1 user3"
"stats count by user",100,5,"user2 user4"
"search index=main sourcetype=access_combined status=404",500,3,"user1 user5"
"index=web sourcetype=apache_error info",200,2,"user3 user6"
"stats count by user, host",300,4,"user2 user7"
"search index=main sourcetype=access_combined status=400",600,6,"user4 user8"
"stats count(user) by host",150,1,"user5 user9"
"search index=main sourcetype=access_combined status=5001",1,33,"AAA BBB"
"index=main sourcetype=syslog warn",250,5,"user3 user11"
"search index=web sourcetype=apache_access status=400",550,7,"user2 user12"
"stats sum(bytes) as b by host,user",350,2,"user4 user13"
"search index=web sourcetype=apache_access status=401",450,4,"user5 user14"
"search index=web sourcetype=apache_access status=403",650,6,"user1 user15"
"index=main sourcetype=syslog error",180,1,"user3 user16"
"search index=main sourcetype=access_combined status=401",520,3,"user2 user17"
"stats count(host) by user",220,5,"user4 user18"
"index=main sourcetype=syslog debug",130,2,"user5 user19"
"index=web sourcetype=apache_error error",270,4,"user1 user20"
"stats sum(bytes) by host",320,6,"user3 user21"
"index=main sourcetype=syslog info",170,1,"user2 user22"
"search index=web sourcetype=apache_access status=500",570,3,"user4 user23"
"search index=web sourcetype=apache_access status=404",620,5,"user5 user24"
"index=web sourcetype=apache_error debug",230,2,"""user1 user25"
